==ID: 0{'N0': 0.10825207262384626, 'Nmax': -777.2442227468191, 'rmax': 0.00013664053212447937}-133.64662411819816
fffffffffff==ID: 181{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 182{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 183{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 184{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 185{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 186{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 187{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 188{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 189{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 190{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 191{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 192{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 193{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 194{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 195{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 196{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

==ID: 197{'N0': 0.15181356510052618, 'Nmax': -11656.296233301895, 'rmax': 0.0006137444478362146}-108.61204067785138

==ID: 198{'N0': 0.01732706516287068, 'Nmax': 0.18888944500626026, 'rmax': 0.1727938313182666}-83.26989712207525

==ID: 199{'N0': 0.014748348675915178, 'Nmax': 0.1777691930866345, 'rmax': 0.257423379559918}-156.7378524911355

==ID: 200{'N0': 0.004123297859993252, 'Nmax': 0.24490723280687207, 'rmax': 0.0326645575363129}-217.4829810838832

==ID: 201{'N0': 0.1583061249171291, 'Nmax': -88106.66411657617, 'rmax': 0.0013069106151027627}-116.21174273744181

==ID: 202{'N0': 0.09328531475827258, 'Nmax': -517660.91165066883, 'rmax': 0.00973313076161079}-62.18882673622153

